G_01_L2_score,U_02_L2_score,U_03_L2_score,CF_01_L2_score,CF_02_L2_score,CF_04_L2_score,CF_05_L2_score,CF_06_L2_score,CF_07_L2_score,C_01_L2_score,C_02_L2_score,EF_01_L2_score,EF_03_L2_score,EF_05_L2_score,EF_06_L2_score,IT_03_L2_score,IT_04_L2_score,G_01_L3_score,IT_01_L3_score,EF_02_Publication_L3_score,EF_02_Cloud_L3_score,EF_02_LabManagement_L3_score,EF_02_DataAnalysis_L3_score,EF_02_DataVisual_L3_score,EF_02_DataImport_L3_score,EF_02_DataManagementPlanning_L3_score,EF_02_Coding_L3_score,EF_02_RefManagement_L3_score,EF_02_DocFormatting_L3_score,EF_02_Collab_L3_score,EF_02_LES_L3_score,EF_02_PM_L3_score
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.22699999999999998,0.562,0.65,0.632,0.33399999999999996,0.534,0.592,0.4,0.24,0.0,0.0,0.0,0.545,0.308,0,0.0,0.0,0.0,0.0,0.25,0.25,0.667,0,0.0,0.0,0.0,0.143,0,0.0
0.5,0,0.7,0.23399999999999999,0.537,0.4,0.632,0.26,0.264,0.0,0.2,0.4,0.375,0.385,0.154,0.182,0.538,0,1.0,0.0,0.0,1.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.333
0.5,0,0.1,0.257,0.032,0.0,0.211,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.308,0.545,0.538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.39300000000000007,1.0,0.35,0.632,0.529,0.27,0.629,0.2,0.64,0.125,0.385,0.0,0.7270000000000001,0.308,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.1,0.151,1.0,0.4,0.0,0.43400000000000005,0.264,0.481,0.0,0.16,0.0,0.0,0.0,0.545,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.1,0.316,1.0,0.4,0.0,0.26,0.446,0.37,0.2,0.56,0.125,0.0,0.0,0.545,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.347,1.0,0.45,0.685,0.331,0.534,0.592,0.2,0.64,0.375,0.385,0.0,0.909,0.308,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.824,1.0,0.85,0.896,0.406,0.765,0.851,0.8,0.72,0.5,1.0010000000000001,0.847,1.0,0.8460000000000001,0,1.0,0.0,0.0,0.0,0.25,0.5,1.0,0,0.0,1.0,0.333,0.143,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.622,1.0,0.0,0.632,0.4,0.46199999999999997,0.222,0.2,0.76,0.125,0.385,0.0,0.7270000000000001,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.6,0.682,1.0,0.45,0.843,0.75,0.446,0.851,0.6000000000000001,0.64,0.375,1.0010000000000001,0.0,0.7270000000000001,0.6920000000000001,0,0.0,0.429,1.0,0.0,0.5,0.75,1.0,0,1.0,0.0,1.0,0.572,0,0.667
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.252,1.0,0.85,0.0,0.581,0.292,0.37,0.2,0.24,0.125,0.385,0.0,0.636,0.8460000000000001,0,0.0,0.0,0.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.1,0.46399999999999997,1.0,1.0,0.632,0.26,0.264,0.222,0.0,0.0,0.5,0.0,0.0,0.545,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.6,0.534,1.0,0.45,0.843,0.603,0.446,0.851,0.4,0.56,0.375,0.385,0.0,0.182,0.538,0,1.0,0.0,0.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.1,0.28500000000000003,1.0,0.85,0.0,0.508,0.264,0.259,0.0,0.24,0.375,0.385,0.0,0.7270000000000001,0.538,0,0.0,0.0,0.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.7,0.532,1.0,0.6,0.843,0.33799999999999997,0.446,0.444,0.0,0.64,0.375,0.385,0.0,0.545,0.6920000000000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.429,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.7,0.20500000000000002,1.0,0.6,0.632,0.355,0.182,0.481,0.2,0.0,0.5,0.0,0.0,0.182,0.538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.48200000000000004,0.682,0.85,0.843,0.4,0.534,0.851,0.0,0.48,0.0,0.385,0.0,1.0,0.6920000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.1,0.134,0.249,0.4,0.632,0.579,0.534,0.481,0.0,0.4,0.5,0.77,0.231,0.7270000000000001,0.538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.184,0.0,0.0,0.632,0.26,0.212,0.0,0.2,0.48,0.5,0.0,0.46199999999999997,0.545,0.308,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.195,0.0,0.2,0.632,0.4,0.553,0.851,0.6000000000000001,0.56,0.5,0.385,0.0,0.182,0.308,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.661,1.0,0.85,0.632,0.508,0.534,0.629,0.0,0.36,0.5,0.77,0.154,0.909,0.6920000000000001,0,0.0,0.0,0.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.035,1.0,0.25,0.632,0.074,0.212,0.296,0.0,0.08,0.0,0.0,0.154,0.545,0.8460000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
